# Sheet: Version November 1, 2024
Part | Section | Abbreviations in Presentation | 英文 | 中文解释
1 | Introduction | Introduction | Introduction | 介绍
Always In Long | AIL | Always In Long | 一直看多：市场处于强烈的多头趋势，交易者应一直保持多头头寸。
Moving Average 20 Gap Bar Sell, Failed | MA 20 GB S F | Moving Average 20 Gap Bar Sell, Failed | 20周期移动平均线跳空卖出失败：价格跳空向下突破20周期移动平均线，但未能维持下跌，反而出现反转或失败信号。
Moving Average Pullback in Bull Trend | MA B in BL | Moving Average Pullback in Bull Trend | 多头趋势中的移动平均回调：价格在多头趋势中回调至移动平均线附近，可能是短期内的买入机会，表明趋势可能继续上涨。
Moving Average Pullback in Bear Trend | MA S in BR | Moving Average Pullback in Bear Trend | 空头趋势中的移动平均回调：价格在空头趋势中回调至移动平均线附近，可能是短期内的卖出机会，表明趋势可能继续下跌。
Moving Average Gap Bars in Bull Trend | MAG BL | Moving Average Gap Bars in Bull Trend | 多头趋势中的移动平均跳空条形：在多头趋势中，价格跳空突破移动平均线，形成一系列跳空条形，通常预示着上行趋势的延续。
Moving Average Gap Bars in Bull Trend, but Became Bear Trend | MAG BL F | Moving Average Gap Bars in Bull Trend, but Became Bear Trend | 多头趋势中的移动平均跳空条形，但变为空头趋势：虽然价格在多头趋势中突破移动平均线并形成跳空条形，但随后趋势反转，变成空头趋势。
Moving Average Gap Bars in Bear Trend | MAG BR | Moving Average Gap Bars in Bear Trend | 空头趋势中的移动平均跳空条形：在空头趋势中，价格跳空突破移动平均线，形成一系列跳空条形，通常预示着下行趋势的延续。
Moving Average Gap Bars in Bear Trend, but Became Bull Trend | MAG BR F | Moving Average Gap Bars in Bear Trend, but Became Bull Trend | 空头趋势中的移动平均跳空条形，但变为多头趋势：虽然价格在空头趋势中突破移动平均线并形成跳空条形，但随后趋势反转，变成多头趋势。
Micro Emini | Micro Emini | Micro Emini | 微型E-mini：指的是非常小的E-mini期货合约，通常具有较低的合约单位和较小的价格波动，适合低资本交易者或日内交易者。
Micro Patterns | Micro Patterns | Micro Patterns | 微型图形：指的是较短时间框架（如1分钟图、5分钟图等）上形成的价格行为模式，通常具有较小的价格波动和较快的趋势反转。
Midday Reversal Up - Moved from Part 12 | Midday Rev BL | Midday Reversal Up - Moved from Part 12 | 午盘反转向上 - 来自第12部分的变动：通常在市场中午时段，价格经历了下跌后突然反转向上，标志着趋势可能恢复或继续上涨。
Failed Midday Reversal Up - Moved from Part 12 | Midday Rev BL F | Failed Midday Reversal Up - Moved from Part 12 | 午盘反转向上失败 - 来自第12部分的变动：尽管价格在中午时段出现反转向上的信号，但未能维持上涨，反而回到之前的趋势中。
Midday Reversal Up Then Trading Range - Moved from Part 12 | Midday Rev BL TR | Midday Reversal Up Then Trading Range - Moved from Part 12 | 午盘反转向上后形成震荡区间 - 来自第12部分的变动：午盘反转向上后，市场并没有继续上涨，而是进入了一个震荡区间，价格波动较小。
Midday Reversal Down - Moved from Part 12 | Midday Rev BR | Midday Reversal Down - Moved from Part 12 | 午盘反转向下 - 来自第12部分的变动：市场在中午时段经历了反转，价格从上涨转为下跌，可能预示着市场的空头趋势。
Failed Midday Reversal Down - Moved from Part 12 | Midday Rev BR F | Failed Midday Reversal Down - Moved from Part 12 | 午盘反转向下失败 - 来自第12部分的变动：尽管价格在中午时段出现了反转向下的信号，但未能维持下跌，反而继续上涨。
Midday Reversal Down Then Trading Range - Moved from Part 12 | Midday Rev BR TR | Midday Reversal Down Then Trading Range - Moved from Part 12 | 午盘反转向下后形成震荡区间 - 来自第12部分的变动：午盘反转向下后，市场没有继续下跌，而是进入了震荡区间，价格波动较小。
Midpoint of Day's Range | Midpoint Range | Midpoint of Day's Range | 白天范围的中点：指的是当天价格波动范围的中间位置，通常作为一个重要的参考水平，支撑和阻力可能集中在这一水平附近。
Minor Bottoms | Minor Bottoms | Minor Bottoms | 小底部：指市场在下跌过程中形成的短期底部，价格可能会暂时反弹，但未必会形成长期的趋势反转。
Minor Bottoms Become Major | Minor Bottoms Become Major | Minor Bottoms Become Major | 小底部转变为大底部：当市场的短期底部被进一步确认，并形成了强劲的反弹或上行趋势时，短期底部可能转变为长期的反转底部。
Minor Tops | Minor Tops | Minor Tops | 小顶部：指市场在上涨过程中形成的短期顶部，价格可能会暂时回落，但未必会形成长期的趋势反转。
Minor Tops Become Major | Minor Tops Become Major | Minor Tops Become Major | 小顶部转变为大顶部：当市场的短期顶部被进一步确认，并形成了持续的下跌或反转趋势时，短期顶部可能转变为长期的反转顶部。
Measured Move Down | MM D | Measured Move Down | 下行测量移动：指价格从某一高点下跌到某一低点的距离，并预测价格可能会继续下跌相同的距离，通常在下跌趋势中使用。
Leg 1 = Leg 2 Measured Move | MM L1 = L2 | Leg 1 = Leg 2 Measured Move | 第1波=第2波测量移动：在趋势中，第1波和第2波的长度相等，表明价格可能会继续下跌或上涨，通常用于趋势延续预测。
Measured Move up | MM U | Measured Move Up | 上行测量移动：指价格从某一低点上涨到某一高点的距离，并预测价格可能会继续上涨相同的距离，通常在上涨趋势中使用。
Measured Move Based on Actual Risk and Implied Risk | MM AR and IR | Measured Move Based on Actual Risk and Implied Risk | 基于实际风险和隐含风险的测量移动：使用实际的市场风险（如波动性）和隐含风险来预测价格的进一步移动，帮助设定目标价位。
Minor Reversal Down so Bull Flag or Bear Leg in Trading Range | MRV D | Minor Reversal Down so Bull Flag or Bear Leg in Trading Range | 小幅反转向下，因此多头旗形或空头腿在震荡区间：市场在震荡区间内发生小幅下跌反转，表明价格可能会继续震荡或突破。
Minor Reversal Up so Bear Flag or Bull Leg in Trading Range | MRV U | Minor Reversal Up so Bear Flag or Bull Leg in Trading Range | 小幅反转向上，因此空头旗形或多头腿在震荡区间：市场在震荡区间内发生小幅上涨反转，表明价格可能会继续震荡或突破。
Major Trend Reversal Up from Double Bottom | MTR DB | Major Trend Reversal Up from Double Bottom | 从双底形成的主要趋势反转向上：市场形成了一个双底形态，通常预示着市场趋势将反转向上。
Major Trend Reversal Up from Double Bottom, but Failed | MTR DB F | Major Trend Reversal Up from Double Bottom, but Failed | 从双底形成的主要趋势反转向上，但失败：虽然市场形成了双底形态并试图反转向上，但未能维持上涨，导致反转失败。
Major Trend Reversal Down from Double Top | MTR DT | Major Trend Reversal Down from Double Top | 从双顶形成的主要趋势反转向下：市场形成了双顶形态，通常预示着市场趋势将反转向下。
Major Trend Reversal Down from Double Top, but Failed | MTR DT F | Major Trend Reversal Down from Double Top, but Failed | 从双顶形成的主要趋势反转向下，但失败：尽管市场形成了双顶形态并试图反转向下，但未能维持下跌，导致反转失败。
Major Trend Reversal Down from Higher High | MTR HH | Major Trend Reversal Down from Higher High | 从更高高点形成的主要趋势反转向下：价格创下新的高点，但随后发生趋势反转，开始下跌。
Major Trend Reversal Down From Higher High, but Failed | MTR HH F | Major Trend Reversal Down From Higher High, but Failed | 从更高高点形成的主要趋势反转向下，但失败：尽管价格创下新高并试图下跌，但未能维持，反转失败，价格恢复上涨。
Major Trend Reversal Up From Higher Low | MTR HL | Major Trend Reversal Up From Higher Low | 从更高低点形成的主要趋势反转向上：价格形成了更高的低点，预示着上行趋势的开始。
Major Trend Reversal Up From Higher Low That Was a Double Bottom | MTR HL DB | Major Trend Reversal Up From Higher Low That Was a Double Bottom | 从更高低点形成的主要趋势反转向上，该低点为双底：价格从双底的更高低点反转向上，可能是一个强烈的买入信号。
Major Trend Reversal Up From Double Bottom Higher Low, but Failed | MTR HL DB F | Major Trend Reversal Up From Double Bottom Higher Low, but Failed | 从双底更高低点形成的主要趋势反转向上，但失败：尽管价格从双底的更高低点反转向上，但未能维持上涨，导致反转失败。
Major Trend Reversal Higher Low, Failed | MTR HL F | Major Trend Reversal Higher Low, Failed | 主要趋势反转更高低点，失败：尽管价格形成了更高的低点，但未能维持上涨，反转失败。
Major Trend Reversal Up From Higher Low and Head And Shoulders Bottom | MTR HL HSB | Major Trend Reversal Up From Higher Low and Head And Shoulders Bottom | 从更高低点及头肩底形成的主要趋势反转向上：市场从头肩底的更高低点反转向上，预示着强势的买入信号。
Major Trend Reversal Down From Lower High | MTR LH | Major Trend Reversal Down From Lower High | 从更低高点形成的主要趋势反转向下：市场创下更低的高点，可能标志着趋势反转向下。
Major Trend Reversal Down From Lower High, but Failed | MTR LH F | Major Trend Reversal Down From Lower High, but Failed | 从更低高点形成的主要趋势反转向下，但失败：尽管价格创下新低并试图下跌，但未能维持下跌，导致反转失败。
Major Trend Reversal Down From Lower High That Was a Double Top | MTR LH DT | Major Trend Reversal Down From Lower High That Was a Double Top | 从更低高点形成的主要趋势反转向下，该高点为双顶：价格形成双顶，随后反转下跌，通常是一个空头信号。
Major Trend Reversal Down From Double Top Lower High, but Failed | MTR LH DT F | Major Trend Reversal Down From Double Top Lower High, but Failed | 从双顶更低高点形成的主要趋势反转向下，但失败：虽然双顶形态表明下跌趋势，但未能维持下行，反转失败。
Major Trend Reversal Down From Lower High and Head And Shoulders Top | MTR LH HST | Major Trend Reversal Down From Lower High and Head And Shoulders Top | 从更低高点及头肩顶形成的主要趋势反转向下：市场从头肩顶的更低高点反转向下，表明市场可能进入下行趋势。
Major Trend Reversal Up From Lower Low | MTR LL | Major Trend Reversal Up From Lower Low | 从更低低点形成的主要趋势反转向上：价格创下新低后反转向上，通常预示着趋势反转并开始上涨。
Major Trend Reversal Up From Lower Low, but Failed | MTR LL F | Major Trend Reversal Up From Lower Low, but Failed | 从更低低点形成的主要趋势反转向上，但失败：尽管价格创下新低后反转向上，但未能维持上涨，反转失败。
11 | Nested Pattern | Nested | Nested Pattern | 嵌套模式：指的是一个模式被包含在另一个模式中，通常是更小的规模的相同类型的价格行为。
Next X Points | Next X Points | Next X Points | 接下来的X点：基于当前图表模式对未来X点价格移动的预测。
Open Was the High of the Day | O = H | Open Was the High of the Day | 开盘价是当天的最高价：当天的开盘价是当天的最高价格。
Open Was the High of the Day, Failed | O = H F | Open Was the High of the Day, Failed | 开盘价是当天的最高价，但失败：开盘价是当天的最高价，但价格快速反转，未能保持在该水平。
Open Was the Low of the Day | O = L | Open Was the Low of the Day | 开盘价是当天的最低价：当天的开盘价是当天的最低价格。
Open Was the Low of the Day, Failed | O = L F | Open Was the Low of the Day, Failed | 开盘价是当天的最低价，但失败：开盘价是当天的最低价，但价格很快反转，未能维持在该水平。
Open Had Many Bull Bars | O BLB | Open Had Many Bull Bars | 开盘时有很多上涨柱：开盘后出现了许多强劲的上涨柱，通常显示出强烈的买入压力。
Open Had Many Bear Bars | O BRB | Open Had Many Bear Bars | 开盘时有很多下跌柱：开盘后出现了许多强劲的下跌柱，通常显示出强烈的卖出压力。
Open Was Limit Order Market | O LOM | Open Was Limit Order Market | 开盘时是限价单市场：市场开盘时，交易者主要使用限价单进行交易，而不是市价单。
Outside Down Day | OD | Outside Down Day | 外围下跌日：当天的价格最高点超过前一天的最高点，而最低点则低于前一天的最低点，且当天收盘价低于开盘价。
Outside Down Day Almost Formed or Test of Yesterday's Low | OD Almost or Test LOY | Outside Down Day Almost Formed or Test of Yesterday's Low | 外围下跌日几乎形成或测试昨天的最低价：几乎形成一个外围下跌日，或者价格测试了前一天的最低价。
Outside Down Day Almost, but Failed and Got Outside Down | OD Almost, Failed | Outside Down Day Almost, but Failed and Got Outside Down | 外围下跌日几乎形成，但失败并形成外围下跌：原本看似会形成外围下跌日，但价格未能维持下行，最终形成了一个外围下跌日。
Outside Down Bar | OD Bar | Outside Down Bar | 外围下跌柱：价格的一根柱子（蜡烛）表现为高于前一根柱子的最高价，并且低于前一根柱子的最低价，收盘价低于开盘价。
Outside Down and Then Outside Up | ODU | Outside Down and Then Outside Up | 外围下跌后又外围上涨：市场出现了一个外围下跌日，接着又出现一个外围上涨日，表示价格可能反转。
Consecutive Outside Bars, Bull Flag | OO BL Flag | Consecutive Outside Bars, Bull Flag | 连续外围柱，上升旗形：市场出现多个外围柱，且价格形成了上升旗形结构，通常预示着价格的进一步上涨。
Consecutive Outside Bars, Bull Flag but Failed | OO BL Flag F | Consecutive Outside Bars, Bull Flag but Failed | 连续外围柱，上升旗形但失败：市场出现多个外围柱并形成了上升旗形结构，但未能突破，导致价格反转。
Consecutive Outside Bars, Bottom | OO Bottom | Consecutive Outside Bars, Bottom | 连续外围柱，底部：市场形成多个外围柱，通常位于底部区域，预示着可能的反转向上。
Consecutive Outside Bars, Failed Bottom | OO Bottom F | Consecutive Outside Bars, Failed Bottom | 连续外围柱，失败底部：市场出现多个外围柱，原本看似形成底部，但未能反转，价格继续下跌。
Consecutive Outside Bars, Bear Flag | OO BR Flag | Consecutive Outside Bars, Bear Flag | 连续外围柱，下跌旗形：多个外围柱形成的下跌旗形结构，通常预示着价格继续下行。
Consecutive Outside Bars, Bear Flag but Failed | OO BR Flag F | Consecutive Outside Bars, Bear Flag but Failed | 连续外围柱，下跌旗形但失败：多个外围柱形成了下跌旗形结构，但未能继续下跌，价格反转向上。
Consecutive Outside Bars on Daily Chart | OO Day | Consecutive Outside Bars on Daily Chart | 日线图上的连续外围柱：日线图上出现连续的外围柱，通常指示价格的剧烈波动。
Consecutive Outside Bars, Top | OO Top | Consecutive Outside Bars, Top | 连续外围柱，顶部：多个外围柱出现在市场顶部区域，可能预示价格的反转下跌。
Consecutive Outside Bars, Failed Top | OO Top F | Consecutive Outside Bars, Failed Top | 连续外围柱，失败顶部：多个外围柱形成了顶部结构，但未能有效突破，价格反转向上。
Consecutive Outside Bars in Tight Trading Range | OO TTR | Consecutive Outside Bars in Tight Trading Range | 紧缩交易区间中的连续外围柱：在一个窄幅交易区间内出现多个外围柱，表明市场的不确定性，价格可能会突破。
3 or More Consecutive Outside Bars | OOO and OOOO | 3 or More Consecutive Outside Bars | 3根或更多连续外围柱：市场形成3根或更多连续的外围柱，表明价格波动剧烈，可能出现强烈的趋势。
OOO and OOOO Day | OOO and OOOO Day | OOO and OOOO Day | OOO和OOOO日：表示连续的外围日，通常指价格波动剧烈，显示出市场的强烈方向性。
Options | Options | Options | 期权：指在特定时间内，可以以特定价格买入或卖出资产的金融工具。
Stop and Limit Order Entries | Orders Stop and Limit | Stop and Limit Order Entries | 止损和限价单进场：交易者使用止损单或限价单来进入市场，以控制风险或指定价格。
Outside Up Day | OU | Outside Up Day | 外围上涨日：当天的最高价超过前一天的最高价，最低价高于前一天的最低价，收盘价高于开盘价。
Outside Up Day Almost Formed or Test of Yesterday's High | OU Almost or Test HOY | Outside Up Day Almost Formed or Test of Yesterday's High | 外围上涨日几乎形成或测试昨天的最高价：几乎形成一个外围上涨日，或者价格测试了前一天的最高价。
Outside Up Day Almost, but Failed and Got Outside Up | OU Almost, Failed | Outside Up Day Almost, but Failed and Got Outside Up | 外围上涨日几乎形成，但失败并形成外围上涨：原本看似会形成外围上涨日，但未能维持上涨，最终形成了一个外围上涨日。
Outside Up Bar | OU Bar | Outside Up Bar | 外围上涨柱：价格的一根柱子（蜡烛）表现为高于前一根柱子的最高价，且低于前一根柱子的最低价，收盘价高于开盘价。
Outside Up Day and Then Outside Down | OUD | Outside Up Day and Then Outside Down | 外围上涨日后又外围下跌：市场先出现外围上涨日，随后出现外围下跌日，表明可能的反转。
Probability Is Low So Risk/Reward is Good | P L so Big Reward | Probability Is Low So Risk/Reward is Good | 概率较低，因此风险/回报较好：当市场走势不明确时，尽管成功概率较低，但若成功，可能带来较大的回报。
Pullback | PB | Pullback | 回调：价格在一个趋势中短期内逆向波动，但整体趋势可能继续。
Pullback to 5%, 10%, or 20% from all-time high | PB 5, 10, or 20% | Pullback to 5%, 10%, or 20% from all-time high | 距历史最高点5%、10%或20%的回调：价格从历史最高点回调至较低水平，通常表明市场可能开始回升或整理。
Pullback 50% | PB 50% | Pullback 50% | 50%回调：价格回调至前期走势的50%位置，通常是技术分析中常见的回调水平。
Pullback to above Bear Breakout | PB Above BR BO | Pullback to above Bear Breakout | 回调至熊市突破点之上：价格回调至之前熊市突破价格之上，可能预示着短期反弹。
Pullback to above Bear Breakout Failed and Became Measuring Gap | PB Above BR BO F | Pullback to above Bear Breakout Failed and Became Measuring Gap | 回调至熊市突破点之上失败并成为测量缺口：回调未能维持在突破点上方，反而形成了一个测量缺口，可能意味着更大的下跌。
Pullback to below Bull Breakout | PB Below BL BO | Pullback to below Bull Breakout | 回调至牛市突破点之下：价格回调至之前牛市突破点之下，通常表示价格可能继续上涨。
Pullback to below Bull Breakout Failed and Became Measuring Gap | PB Below BL BO F | Pullback to below Bull Breakout Failed and Became Measuring Gap | 回调至牛市突破点之下失败并成为测量缺口：回调未能维持在突破点下方，反而形成了一个测量缺口，可能预示着进一步上涨。
Deep PB in Bull Trend | PB Deep BL | Deep PB in Bull Trend | 牛市中的深度回调：在强势牛市中，价格经历了较深的回调，但整体趋势仍然向上。
Deep PB in Bear Trend | PB Deep BR | Deep PB in Bear Trend | 熊市中的深度回调：在下跌的熊市中，价格经历了较深的回调，但整体趋势仍然向下。
Pullback Down In Bull Trend That Is Endless | PB Endless D | Pullback Down In Bull Trend That Is Endless | 在无尽牛市中的下跌回调：在强势牛市中，价格持续回调，但没有结束迹象，可能会继续上涨。
Pullback Down In Bull Trend that Is Endless, but Bull Trend Resumed | PB Endless D F | Pullback Down In Bull Trend that Is Endless, but Bull Trend Resumed | 在无尽牛市中的下跌回调，但牛市恢复：回调看似没有结束，但随后牛市恢复，价格继续上涨。
Pullback Up In Bear Trend That is Endless | PB Endless U | Pullback Up In Bear Trend That is Endless | 在无尽熊市中的上涨回调：在熊市中，价格持续上涨，但没有结束迹象，可能会继续下跌。
Pullback Up In Bear Trend That is Endless, but Bear Trend Resumed | PB Endless U F | Pullback Up In Bear Trend That is Endless, but Bear Trend Resumed | 在无尽熊市中的上涨回调，但熊市恢复：回调看似没有结束，但随后熊市恢复，价格继续下跌。
Pullback to Bull Trend Line | PB TL BL | Pullback to Bull Trend Line | 回调至牛市趋势线：价格回调至牛市趋势线附近，可能会重新开始上涨。
Pullback to Bear Trend Line | PB TL BR | Pullback to Bear Trend Line | 回调至熊市趋势线：价格回调至熊市趋势线附近，可能会继续下跌。
Buying Pressure | Pressure Buying | Buying Pressure | 买盘压力：市场中存在强烈的买盘力量，推动价格上涨。
Buying Pressure, Failed, Got Bear BO | Pressure Buying F | Buying Pressure, Failed, Got Bear BO | 买盘压力失败，出现熊市突破：虽然有买盘压力，但最终未能维持上涨，市场突破了熊市。
Selling Pressure | Pressure Selling | Selling Pressure | 卖盘压力：市场中存在强烈的卖盘力量，推动价格下跌。
Selling Pressure, Failed, Got Bull BO | Pressure Selling F | Selling Pressure, Failed, Got Bull BO | 卖盘压力失败，出现牛市突破：尽管有卖盘压力，但未能维持下跌，市场突破了牛市。
Profit Taking in Bull Trend | Profit Taking BL | Profit Taking in Bull Trend | 牛市中的获利回吐：在上涨趋势中，投资者选择卖出获利，可能导致短期回调。
Profit Taking in Bear Trend | Profit Taking BR | Profit Taking in Bear Trend | 熊市中的获利回吐：在下跌趋势中，投资者选择买入获利，可能导致短期反弹。
12 | Reversal Down | Rev D | Reversal Down | 向下反转：价格走势从上升转为下跌，通常表示趋势的改变或反转。
Reversal Down Failed and Bull Trend Resumed | Rev D F | Reversal Down Failed and Bull Trend Resumed | 向下反转失败，牛市趋势恢复：尽管市场尝试向下反转，但未能持续，牛市趋势重新开始。
Midday Reversal Down - Moved to Part 10 | Rev D Midday | Midday Reversal Down - Moved to Part 10 | 中午向下反转 - 移动到第10部分：通常指的是在交易日的中段发生的向下反转，市场可能会出现短期的调整或回调。
Failed Midday Reversal Down - Moved to Part 10 | Rev D Midday F | Failed Midday Reversal Down - Moved to Part 10 | 中午向下反转失败 - 移动到第10部分：中午的向下反转未能持续，价格反弹，表明市场可能恢复上涨。
Midday Reversal Down Then Trading Range - Moved to Part 10 | Rev D Midday TR | Midday Reversal Down Then Trading Range - Moved to Part 10 | 中午向下反转后形成交易区间 - 移动到第10部分：价格在中午时段向下反转后进入一个横盘整理区间。
Reversal Down and then Reversal Up | Rev D U | Reversal Down and then Reversal Up | 向下反转后再向上反转：价格首先向下反转，但随后又发生了向上的反转，通常表现为一个短期的反转模式。
Many Abrupt Reversals | Rev Many | Many Abrupt Reversals | 多次突如其来的反转：价格出现频繁的急剧反转，表明市场的不确定性和剧烈波动。
Reversal Up | Rev U | Reversal Up | 向上反转：价格从下跌转为上涨，通常标志着趋势的反转或改变。
Reversal Up and then Reversal Down | Rev U D | Reversal Up and then Reversal Down | 向上反转后再向下反转：价格先是向上反转，随后又发生了向下反转，显示出趋势的不确定性。
Reversal Up Failed and Bear Trend Resumed | Rev U F | Reversal Up Failed and Bear Trend Resumed | 向上反转失败，熊市趋势恢复：价格向上反转未能成功，熊市趋势再次占据主导地位。
Midday Reversal Up - Moved to Part 10 | Rev U Midday | Midday Reversal Up - Moved to Part 10 | 中午向上反转 - 移动到第10部分：通常指的是在交易日中段发生的向上反转，可能导致市场恢复上涨。
Failed Midday Reversal Up - Moved to Part 10 | Rev U Midday F | Failed Midday Reversal Up - Moved to Part 10 | 中午向上反转失败 - 移动到第10部分：中午时段的向上反转未能持续，价格继续下跌，可能回到熊市趋势。
Midday Reversal Up Then Trading Range - Moved to Part 10 | Rev U Midday TR | Midday Reversal Up Then Trading Range - Moved to Part 10 | 中午向上反转后形成交易区间 - 移动到第10部分：价格在中午时段向上反转后，进入了一个横盘整理区间。
Reversing Position | Reversing Position | Reversing Position | 反转头寸：交易者改变原有的市场方向，例如从做空转为做多或反之，通常是基于市场反转的信号。
Risk Happens Fast (Type of Fast Reversal) | Risk Happens Fast | Risk Happens Fast (Type of Fast Reversal) | 风险发生得很快（快速反转的类型）：市场的快速反转可能带来较大的风险，价格迅速发生剧烈波动。
Rollover | Rollover | Rollover | 翻转：市场的价格走势在一定时间内逐渐改变方向，通常表现为长期趋势的反转。
Bull BO above Tight TR Bear Flag (Rounding Bottom) | Rounding Bottom | Bull BO above Tight TR Bear Flag (Rounding Bottom) | 牛市突破紧缩交易区间的熊旗形（圆形底部）：价格突破了一个紧缩的交易区间，形成了一个熊旗形结构，然后反转并形成牛市，类似于一个圆形底部。
Bear BO below Tight TR Bull Flag (Rounding Top) | Rounding Top | Bear BO below Tight TR Bull Flag (Rounding Top) | 熊市突破紧缩交易区间的牛旗形（圆形顶部）：价格突破了一个紧缩的交易区间，形成了一个牛旗形结构，然后反转并形成熊市，类似于一个圆形顶部。
Bad Buy Signal Bar | SB B Bad | Bad Buy Signal Bar | 不好的买入信号柱：一根不强的信号柱，通常显示价格走势反转的可能性不大，或者市场条件不利于买入。
Buy Signal Bar, but Bad Context | SB B Bad Context | Buy Signal Bar, but Bad Context | 买入信号柱，但背景不好：虽然有买入信号柱，但市场的背景或其他因素表明买入可能并不合适。
Big Buy Signal Bar | SB B Big | Big Buy Signal Bar | 大的买入信号柱：一根大且强烈的买入信号柱，通常伴随有强劲的上涨动能。
Good Buy Signal Bar | SB B Good | Good Buy Signal Bar | 良好的买入信号柱：一根典型的买入信号柱，显示出强劲的买盘，通常是做多的信号。
Buy Signal Bar on Higher Time Frame | SB B HTF | Buy Signal Bar on Higher Time Frame | 高时间框架上的买入信号柱：在较大的时间框架（如日线图）上出现的买入信号柱，通常预示着更长时间周期的上涨趋势。
Small Buy Signal Bar | SB B Small | Small Buy Signal Bar | 小的买入信号柱：一根较小的买入信号柱，显示出一定的买盘力量，但动能较弱。
Signal Bar, 2nd Buy Signal | SB B2 | Signal Bar, 2nd Buy Signal | 信号柱，第二次买入信号：在已有买入信号柱后，出现第二根买入信号柱，进一步确认做多的机会。
Signal Bar, Failed 2nd Buy Signal | SB B2 F | Signal Bar, Failed 2nd Buy Signal | 信号柱，第二次买入信号失败：第二根买入信号柱未能维持上涨，显示出市场可能会反转或继续下跌。
Signal Bar, Avoid 3rd Buy Signal | SB B3 Avoid | Signal Bar, Avoid 3rd Buy Signal | 信号柱，避免第三次买入信号：第三根买入信号柱可能被认为是一个危险信号，因为可能是市场反转的迹象。
Outside Down Sell Signal Bar | SB OD | Outside Down Sell Signal Bar | 外围下跌卖出信号柱：一根外围下跌的信号柱，表明市场可能会出现下跌趋势，适合做空。
Outside Up Buy Signal Bar | SB OU | Outside Up Buy Signal Bar | 外围上涨买入信号柱：一根外围上涨的信号柱，表明市场可能会出现上涨趋势，适合做多。
Bad Sell Signal Bar | SB S Bad | Bad Sell Signal Bar | 不好的卖出信号柱：一根不强的卖出信号柱，通常显示价格走势反转的可能性不大，或者市场条件不利于做空。
Sell Signal Bar, but Bad Context | SB S Bad Context | Sell Signal Bar, but Bad Context | 卖出信号柱，但背景不好：虽然有卖出信号柱，但市场的背景或其他因素表明卖出可能并不合适。
Big Sell Signal Bar | SB S Big | Big Sell Signal Bar | 大的卖出信号柱：一根大且强烈的卖出信号柱，通常伴随有强劲的下跌动能。
Good Sell Signal Bar | SB S Good | Good Sell Signal Bar | 良好的卖出信号柱：一根典型的卖出信号柱，显示出强劲的卖盘，通常是做空的信号。
Sell Signal Bar on Higher Time Frame | SB S HTF | Sell Signal Bar on Higher Time Frame | 高时间框架上的卖出信号柱：在较大的时间框架（如日线图）上出现的卖出信号柱，通常预示着更长时间周期的下跌趋势。
Small Sell Signal Bar | SB S Small | Small Sell Signal Bar | 小的卖出信号柱：一根较小的卖出信号柱，显示出一定的卖盘压力，但动能较弱。
Signal Bar, 2nd Sell Signal | SB S2 | Signal Bar, 2nd Sell Signal | 信号柱，第二次卖出信号：在已有卖出信号柱后，出现第二根卖出信号柱，进一步确认做空的机会。
Signal Bar, Failed 2nd Sell Signal | SB S2 F | Signal Bar, Failed 2nd Sell Signal | 信号柱，第二次卖出信号失败：第二根卖出信号柱未能维持下跌，显示出市场可能会反转或继续上涨。
Signal Bar, Avoid 3rd Sell Signal | SB S3 Avoid | Signal Bar, Avoid 3rd Sell Signal | 信号柱，避免第三次卖出信号：第三根卖出信号柱可能被认为是一个危险信号，因为可能是市场反转的迹象。
Strong Signal Bar | SB Strong | Strong Signal Bar | 强信号柱：一根表现出强烈市场动向的信号柱，通常具有较高的概率成功。
Weak Signal Bar | SB Weak | Weak Signal Bar | 弱信号柱：一根表现不强的信号柱，通常显示出市场动向不明确，成功的概率较低。
Scaling Into Longs | Scale in BL | Scaling Into Longs | 加仓做多：在价格上涨的过程中逐步增加多头仓位。
Scaling Into Longs, but Lost Money | Scale in BL Lose | Scaling Into Longs, but Lost Money | 加仓做多，但亏损：在多次加仓后，市场未能如预期上涨，导致亏损。
Scaling Into Shorts | Scale In BR | Scaling Into Shorts | 加仓做空：在价格下跌的过程中逐步增加空头仓位。
Scaling Into Shorts, but Lost Money | Scale in BR Lose | Scaling Into Shorts, but Lost Money | 加仓做空，但亏损：在多次加仓后，市场未能如预期下跌，导致亏损。
Short Covering | Short Covering | Short Covering | 平空：投资者在空头仓位中获利了结，通常表现为价格的短期上涨。
13 | Small Pullback Bull Trend | SPBL | Small Pullback Bull Trend | 小幅回调的牛市趋势：在牛市中，价格出现小幅回调后继续上涨，表明整体上升趋势仍然强劲。
Small Pullback Bull Trend That Reversed Down | SPBL F | Small Pullback Bull Trend That Reversed Down | 小幅回调的牛市趋势但反转向下：在牛市中，价格出现了小幅回调后，未能继续上涨，反而开始下跌，表明趋势可能反转。
Small Pullback Bull Trend in Trading Range Day | SPBL TRD | Small Pullback Bull Trend in Trading Range Day | 在震荡日中的小幅回调牛市趋势：在一个震荡的交易日中，价格出现了小幅回调并持续上涨，显示出牛市的力量。
Small Pullback Bear Trend | SPBR | Small Pullback Bear Trend | 小幅回调的熊市趋势：在熊市中，价格出现小幅回调后继续下跌，表明整体下跌趋势仍然强劲。
